ซีนที่ (Scene No),ช่วงเวลา (Time),ความยาว (Duration),คิวเสียง (Lyric Cue),ภาพเหตุการณ์ (Description),ประเภทช็อต (Shot Type),มุมกล้อง (Camera Angle),การจัดแสง (Lighting),Photo Prompt (เจนภาพ),Motion Prompt (เจนวิดีโอ),ตัวละครในซีน (Characters),สถานที่ถ่ายทำ (Location)
26,1:51 - 1:56,5,เขียวๆ เขียวๆ ผักใบเขียว กรุบกรอบ,เด็กๆ คนอื่นๆ วิ่งเข้ามานั่งล้อมโต๊ะปิกนิกใน Playful Front Yard ร่วมทานผักใบเขียวกรอบกับโฮมมี่และพี่บรอก (Brocc),Medium Shot,Eye-level.,"Warm afternoon sunlight, with soft, diffused light creating a happy and inviting atmosphere. Gentle highlights on the children's faces and the crisp vegetables.","`Medium shot of several diverse, happy children sitting joyfully around a rustic wooden picnic table in the vibrant Playful Front Yard, enthusiastically eating fresh green vegetables. Homey and Brocc the cheerful green broccoli character are seated amongst them, participating in the meal. The scene is bathed in warm afternoon sunlight. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, highly detailed, 16:9 aspect ratio.`","Horizontal camera pan (pan rate 2 degrees/second) across the happy faces at the picnic table, capturing the children's joyful chewing actions and subtle, cheerful conversation. Brocc performs gentle swaying movements, acknowledging the children. No text, no subtitles, no words, clean video output.","Homey, Brocc, เด็กๆ",Playful Front Yard
27,1:56 - 2:03,7,สีแดง สีส้ม หม่ำๆๆๆ อั้ม มีพลัง,เด็กๆ เคี้ยวผลไม้และผักสีแดงส้ม เกิดคลื่นพลังสีส้มแดงกระจายกอดวงกลม โฮมมี่กระโดดกอดคอเพื่อนๆ ใน Playful Front Yard,Group Shot (transitioning to Wide),"Eye-level, pulling back to wide.","Warm golden sunset light, casting long, soft shadows and imbuing the scene with cinematic warm tones. Volumetric light haze in the air, enhancing the ethereal feel of the energy waves.","`Group shot of Homey and his diverse friends, all laughing and embracing each other on the lush green grass of the Playful Front Yard. As they chew, a circular wave of vibrant orange and red energy subtly radiates outwards from their hug. The scene is beautifully illuminated by a warm golden sunset. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, volumetric lighting, highly detailed, 16:9 aspect ratio.`","Camera does a slow pull-back (dolly back 0.3 units/second) from a medium group hug to a wide view of the garden under the sunset. The orange and red energy waves visibly spread in a gentle, pulsing circle. Homey and his friends perform joyful, animated embraces, their expressions radiating happiness. No text, no subtitles, no words, clean video output.","Homey, เด็กๆ",Playful Front Yard
28,2:03 - 2:07,4,กินผักทุกวัน ร่างกายแข็งแรง,โฮมมี่และเด็กๆ ยืนเกาะกลุ่มเบ่งกล้ามโชว์ความแข็งแรงร่วมกับแก๊งผักมีชีวิต แสงแดดยามเย็นทอประกายขอบสีทองสลัว,Medium Group Shot,"Eye-level, slight low-angle.","Soft, golden-rimmed evening light, creating subtle highlights on their forms and a warm, proud atmosphere.","`Medium group shot of Homey, several diverse children, and the living vegetable characters Brocc (broccoli) and Pumpk (pumpkin) standing proudly together in the Playful Front Yard. They are all flexing their muscles in a cute, determined display of strength. The scene is bathed in a beautiful, soft golden-rimmed evening light. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, highly detailed, 16:9 aspect ratio.`","Slow tilt-up camera tracking (tilt rate 0.5 degrees/second) from their sneakers to their cute, flexing poses. Homey and friends perform synchronized muscle flexes with subtle muscle jiggle, and Brocc and Pumpk wiggle their bodies in agreement. No text, no subtitles, no words, clean video output.","Homey, Brocc, Pumpk, เด็กๆ",Playful Front Yard
29,2:07 - 2:11,4,กินผักหลากสี สนุกจังเลย,เด็กๆ จับมือล้อมโต๊ะเต้นรำเป็นวงกลม โยนเศษผักสีสวยขึ้นไปปลิวว่อนกลางอากาศเหมือนกระดาษสายรุ้ง,Wide Shot,"High-angle, slowly rotating.","Bright, playful lighting, with colorful veggie leaves reflecting light. Dynamic shadows from their dance.","`Wide shot of several happy children, holding hands and dancing joyfully in a circle around a colorful picnic table in the Playful Front Yard. They are playfully throwing colorful veggie leaves (like green lettuce, red tomato slices, orange bell pepper pieces) high into the air, resembling rainbow confetti. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, highly detailed, 16:9 aspect ratio.`","High-angle camera slowly rotating (rotation rate 10 degrees/second) above the circle of dancing children. The colorful veggie leaves are flying with gentle physics simulation and subtle glitter effects, creating a whimsical rain. No text, no subtitles, no words, clean video output.",เด็กๆ,Playful Front Yard
30,2:11 - 2:14,3,ผักมีพลัง วิเศษจริงๆ ด้วย,โฮมมี่ถือมะเขือเทศและพริกหวานขึ้นมอง ชื่นชมประกายดาวที่ส่องวิบวับอยู่บนผิวผักอย่างตื่นเต้น,Close-up Shot,Eye-level.,"Bright, magical lighting, with sparkling glitter reflecting light from the vegetables. Subsurface scattering on Tommy and Sweetie, enhancing their vibrant colors.","`Close-up shot of Homey, with wide, amazed eyes, holding Tommy the cute red tomato and Sweetie the cute orange bell pepper in the Playful Front Yard. He gazes in wonder at the magical glitter and star sparkles shimmering on the vegetables' surfaces, an expression of pure excitement on his face. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, highly detailed, 16:9 aspect ratio.`","Shallow depth of field camera focus shifts (rack focus) from the glowing vegetables to Homey's wide, happy eyes over 1.5 seconds, revealing a subtle star sparkle gleam. Homey performs a gentle, excited gasp animation, conveying genuine awe. No text, no subtitles, no words, clean video output.","Homey, Tommy, Sweetie",Playful Front Yard
31,2:14 - 2:22,8,มาหม่ำผักกันทุกวันเลยนะ (เย้!),ทุกคนโยนผักขึ้นฟ้า ตะโกนเย้แล้วกระโดดลอยตัวพร้อมกัน กล้องดึงถอยหลังเห็นภาพทิวทัศน์บ้านสวนแสนสุขในชนบท,Extreme Wide Shot,Grand pull-back and crane up.,"Starry evening sky, with a soft twilight glow over the serene countryside landscape. Magical sparkle trails from the floating vegetables and characters.","`Extreme wide shot of a charming cottage house nestled in the Playful Front Yard, under a beautiful starry evening sky. All characters, including Homey, his friends, and the living vegetables, are captured mid-air, jumping together and joyfully yelling ""Yay!"". Vegetables are tossed upwards, creating a colorful arc. The camera perspective is a grand pull-back, revealing the entire peaceful countryside valley at twilight. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, highly detailed, 16:9 aspect ratio.`","Grand camera pull-back and crane up (dolly back and crane up at 0.5 units/second), moving gracefully away from the yard to show the entire peaceful countryside valley at twilight. All characters jump in mid-air with exaggerated hang time, yelling ""Yay!"" in unison. Colorful veggie particles float upwards with subtle sparkle trails. No text, no subtitles, no words, clean video output.","Homey, Brocc, Tommy, Sweetie, Poppy, Pumpk, เด็กๆ",Playful Front Yard
32,2:22 - 2:29,7,[ดนตรีบรรเลงเดี่ยวส่งตัว],ช่วงทรานสิชั่นดนตรี โฮมมี่และแก๊งผักยืนเรียงหน้ากระดานโบกมือลาผู้ชม โคมไฟหน้าต่างบ้านกะพริบตอบรับอย่างอบอุ่น,Wide Sunset Shot,"Eye-level, gently panning.","Deepening sunset colors in the sky, with warm glow emanating from the house windows. Soft shadows lengthen as twilight sets in, creating a serene farewell atmosphere.","`Wide sunset shot of the Playful Front Yard. Homey, along with the entire cast of living vegetable characters (Brocc, Tommy, Sweetie, Poppy, Pumpk), stands side-by-side on the grassy path, waving goodbye to the camera with sincere, friendly expressions. The house windows flicker with a warm, inviting glow. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, highly detailed, 16:9 aspect ratio.`","Camera slowly pans right (pan rate 1.5 degrees/second), tracking their waving hands as the sunset colors deepen into night. The house window lights gently blink in a warm, welcoming rhythm, fading as the pan completes. No text, no subtitles, no words, clean video output.","Homey, Brocc, Tommy, Sweetie, Poppy, Pumpk",Playful Front Yard
33,2:29 - 2:34,5,เขียวๆ เขียวๆ ผักใบเขียว กรุบกรอบ,(ท่อนคอรัสรอบสุดท้าย) แก๊งผักเต้นดุ๊กดิ๊ก ดึงม่านสีแดงกำมะหยี่ขยับรูดลงมาปิดหน้าจอทีละครึ่งอย่างสนุกสนาน,Humorous Medium Shot,"Eye-level, slightly off-center.","Dramatic stage lighting, highlighting the rich velvet texture of the curtain. Neon glow from the Cosmic Rainbow Track background, creating a vibrant contrast.","`Humorous medium shot of Brocc the broccoli and Tommy the tomato characters, with exaggerated effort, sliding a heavy, lush red velvet theater curtain across the screen on the Cosmic Rainbow Track from left to right. The Cosmic Rainbow Track is visible in the blurred background. Both vegetables are playfully struggling, adding to the comedic effect. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, highly detailed, 16:9 aspect ratio.`","Wipe effect motion tracking the heavy red curtain as it moves across the screen from left to right (wipe rate 20% per second). The curtain exhibits gentle ruffles and folds with realistic cloth physics. Brocc and Tommy perform comical pulling and struggling animations, in sync with a theatrical curtain closing sound cue. No text, no subtitles, no words, clean video output.","Brocc, Tommy",หน้าจอมืด
34,2:34 - 2:40,6,สีแดง สีส้ม หม่ำๆๆๆ อั้ม มีพลัง,ม่านปิดเกือบสนิท โฮมมี่แหวกช่องรูดม่านตรงกลางออกมา ยิ้มแป้นยิงฟันขาวและขยิบตาขี้เล่นให้หนึ่งที,Cute Close-up,"Eye-level, direct address to camera.","Soft spotlight on Homey's face, emphasizing his smooth skin and bright smile. Rich velvet texture of the curtain is visible.","`Cute close-up shot of Homey peeking his head out from a playful gap in the rich red velvet curtains. He flashes a wide, cheeky smile, showing off his clean white teeth, and gives a playful wink to the camera. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, highly detailed, 16:9 aspect ratio.`","Zooming in slightly on Homey's eye (zoom factor 0.1x over 2 seconds) as he winks. The camera then freeze-frames the wink, with a star sparkle gleam and a subtle lens flare emanating from his eye. The curtain fabric gently rustles around him, and his smile holds steady. No text, no subtitles, no words, clean video output.",Homey,หน้าจอมืด
35,2:40 - 2:48,8,[Outro ดนตรีสิ้นสุดลง],"ม่านปิดสนิท มีโลโก้ ""Homey Family"" โทนสีทองเรืองแสงฟุ้งค่อยๆ ปรากฏขึ้นตรงกลางจอมืดอย่างหรูหราก่อนจะดับลง",Full Screen / Graphic Shot,Centered.,"Elegant, cinematic dark lighting with a luxurious velvet background. The glowing gold logo exhibits volumetric light rays and subtle dust motes.","`A beautiful, intricate glowing gold logo of ""Homey Family"" elegantly fading in on a dark, luxurious velvet background. Volumetric light rays emanate from the text, creating a soft, ethereal halo. Disney Pixar 3D animation style, 3D typography, cinematic render, smooth textures, highly detailed, 16:9 aspect ratio.`","The ""Homey Family"" logo text sparkles with a subtle light ray animation, slowly fading from fully visible to black over 8 seconds as the last musical note gracefully ends. A subtle ethereal shimmer gently dissipates around the logo before darkness. No text, no subtitles, no words, clean video output.",,โลโก้ตอนท้าย
